datetime,count,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,day
2020-01-01,18114,1577854800,5.0,1.7,3.2,1.5,-2.4,-0.4,-5.8,51.81,0.0,,0.0,,0.0,0.0,47.9,22.7,271.9,1007.4,80.4,16.0,97.4,3.5,2.0,07:20:12,1577881212,16:38:46,1577914726,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,1
2020-01-02,41556,1577941200,9.4,1.0,5.3,7.9,-2.7,3.3,-4.1,51.59,0.0,,0.0,,0.0,0.0,29.5,17.2,243.0,1013.1,7.8,16.0,200.7,7.2,4.0,07:20:18,1577967618,16:39:37,1578001177,0.22,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,2
2020-01-03,31873,1578027600,9.4,6.7,8.2,9.3,5.3,7.4,4.8,79.53,3.43,,50.0,,0.0,0.0,,11.0,264.8,1009.5,84.9,12.4,41.4,1.5,1.0,07:20:22,1578054022,16:40:29,1578087629,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,3
2020-01-04,29436,1578114000,10.5,6.2,8.9,10.5,3.4,7.9,7.4,90.59,5.72,,37.5,,0.0,0.0,43.3,15.9,172.1,1003.3,87.0,8.5,33.4,1.2,1.0,07:20:24,1578140424,16:41:23,1578174083,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,4
2020-01-05,27589,1578200400,5.6,2.0,3.7,2.7,-2.3,-0.4,-5.8,50.49,0.0,,0.0,,1.88,1.87,63.3,35.4,301.8,1009.4,63.7,16.0,215.3,7.8,5.0,07:20:24,1578226824,16:42:18,1578260538,0.36,Partially cloudy,Partly cloudy throughout the day.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,5
2020-01-06,42738,1578286800,6.8,0.0,3.6,5.6,-3.8,1.0,-3.3,63.24,1.03,,12.5,,1.12,3.0,51.5,18.6,258.9,1014.5,59.9,14.2,128.1,4.6,4.0,07:20:21,1578313221,16:43:14,1578346994,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,6
2020-01-07,46535,1578373200,6.7,2.8,4.5,6.1,0.2,2.6,-5.6,48.76,0.0,,0.0,,0.0,0.76,44.4,16.6,161.5,1015.5,32.0,15.6,122.7,4.4,2.0,07:20:16,1578399616,16:44:12,1578433452,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,7
2020-01-08,42400,1578459600,5.0,-1.1,1.6,0.4,-6.5,-2.6,-6.4,57.51,0.0,,0.0,,0.0,0.0,50.5,28.0,270.8,1015.8,36.9,15.3,189.4,6.8,4.0,07:20:09,1578486009,16:45:12,1578519912,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,8
2020-01-09,39344,1578546000,0.7,-4.9,-1.8,0.1,-11.8,-5.1,-13.9,39.72,0.0,,0.0,,0.0,0.0,55.8,33.1,220.4,1037.9,6.3,16.0,256.8,9.2,5.0,07:20:00,1578572400,16:46:12,1578606372,0.49,Clear,Clear conditions throughout the day.,wind,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,9
2020-01-10,50800,1578632400,12.2,0.6,7.1,12.2,-2.7,5.4,1.4,67.16,0.0,,0.0,,0.0,0.0,33.5,16.6,226.9,1033.7,55.1,16.0,123.7,4.5,3.0,07:19:48,1578658788,16:47:14,1578692834,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,10
